rl,tech,anl,rsk,penalty,regime,vote,timestamp
7.65,9.0,7.15,8.25,0.25,bull,BUY,784136.109
7.94,9.0,7.21,8.25,0.25,bull,BUY,784172.546
8.0,9.0,7.17,8.5,0.25,bull,BUY,784208.75
6.98,6.5,5.09,7.0,0.75,chop,NEUTRAL,784248.421
7.74,9.0,7.16,8.25,0.25,bull,BUY,784285.89
8.02,9.0,7.15,8.5,0.25,bull,BUY,784322.968
8.01,9.0,7.14,8.5,0.25,bull,BUY,784359.671
7.68,9.0,7.11,8.25,0.25,bull,BUY,784399.531
7.06,5.0,5.1,7.25,0.75,chop,NEUTRAL,784438.046
7.28,6.5,5.07,7.25,0.75,chop,NEUTRAL,784477.14
7.24,5.0,5.08,7.25,0.75,chop,NEUTRAL,784515.531
7.05,5.0,7.09,8.25,0.85,bull,NEUTRAL,784554.156
7.15,5.0,6.98,8.25,0.85,bull,NEUTRAL,784592.984
7.27,5.0,6.95,8.25,0.85,bull,NEUTRAL,784631.078
6.92,5.0,6.93,8.0,0.85,bull,NEUTRAL,784669.484
5.96,4.0,4.84,7.0,1.2,chop,NEUTRAL,784708.656
5.96,4.0,4.73,7.0,1.2,chop,NEUTRAL,784748.75
5.81,4.0,4.69,7.0,1.2,chop,NEUTRAL,784788.046
6.25,4.0,4.82,7.0,1.2,chop,NEUTRAL,784826.062
5.78,4.0,4.82,7.0,1.2,chop,NEUTRAL,784865.656
6.19,4.0,4.72,7.0,1.2,chop,NEUTRAL,784904.046
6.02,4.0,4.74,7.0,1.2,chop,NEUTRAL,784941.921
6.22,4.0,4.79,7.0,1.2,chop,NEUTRAL,784980.875
5.87,4.0,4.65,7.0,1.2,chop,NEUTRAL,785018.937
6.21,4.0,4.71,7.0,1.2,chop,NEUTRAL,785056.453
5.7,4.0,4.74,7.0,1.2,chop,NEUTRAL,785093.5
5.7,4.0,4.78,7.0,0.8,chop,NEUTRAL,785132.546
6.09,4.0,4.69,7.0,0.8,chop,NEUTRAL,785171.906
6.0,4.0,4.74,7.0,0.8,chop,NEUTRAL,785209.375
6.0,4.0,4.76,7.0,0.8,chop,NEUTRAL,785246.765
5.79,4.0,4.76,7.0,0.8,chop,NEUTRAL,785284.14
5.99,4.0,4.76,7.0,0.8,chop,NEUTRAL,785321.953
5.72,4.0,4.74,7.0,0.8,chop,NEUTRAL,785360.046
5.79,4.0,4.77,7.0,0.8,chop,NEUTRAL,785398.5
6.27,4.0,4.8,7.0,0.8,chop,NEUTRAL,785438.5
6.41,4.0,4.92,7.0,1.2,chop,NEUTRAL,785477.187
6.18,4.0,4.83,7.0,1.2,chop,NEUTRAL,785516.515
5.9,4.0,4.83,7.0,1.2,chop,NEUTRAL,785556.312
5.82,4.0,4.74,7.0,0.8,chop,NEUTRAL,785594.875
5.69,4.0,4.74,7.0,0.8,chop,NEUTRAL,785633.906
5.79,4.0,4.75,7.0,0.8,chop,NEUTRAL,785673.453
6.17,4.0,4.74,7.0,0.8,chop,NEUTRAL,785711.359
5.91,4.0,4.68,7.0,0.8,chop,NEUTRAL,785767.328
5.55,4.0,4.63,7.0,0.8,chop,NEUTRAL,785806.968
5.61,4.0,4.68,7.0,0.8,chop,NEUTRAL,785846.312
6.16,4.0,4.66,7.0,0.8,chop,NEUTRAL,785886.781
5.73,4.0,4.56,7.0,0.8,chop,NEUTRAL,785925.531
5.49,4.0,4.46,7.0,0.8,chop,NEUTRAL,785963.25
5.78,4.0,4.56,7.0,0.8,chop,NEUTRAL,786001.593
5.5,4.0,4.56,7.0,0.8,chop,NEUTRAL,786041.296
6.08,4.0,4.6,7.0,0.8,chop,NEUTRAL,786082.312
5.39,4.0,4.49,7.0,0.8,chop,NEUTRAL,786123.234
5.89,4.0,4.44,7.0,0.8,chop,NEUTRAL,786205.359
5.89,4.0,4.48,7.0,0.8,chop,NEUTRAL,786243.375
5.77,4.0,4.51,7.0,0.8,chop,NEUTRAL,786284.421
5.86,4.0,4.49,7.0,0.8,chop,NEUTRAL,786324.218
5.39,4.0,4.33,7.0,1.2,chop,NEUTRAL,786363.859
5.25,4.0,4.33,7.0,1.2,chop,NEUTRAL,786405.484
5.82,4.0,4.33,7.0,1.2,chop,NEUTRAL,786445.281
5.67,4.0,4.27,7.0,1.2,chop,NEUTRAL,786485.125
5.54,4.0,4.35,7.0,1.2,chop,NEUTRAL,786525.14
5.84,4.0,4.48,7.0,1.2,chop,NEUTRAL,786563.546
5.69,4.0,4.41,7.0,1.2,chop,NEUTRAL,786602.25
5.96,4.0,4.65,7.0,1.2,chop,NEUTRAL,786640.156
5.52,4.0,4.6,7.0,1.2,chop,NEUTRAL,786678.031
5.93,4.0,4.62,7.0,1.2,chop,NEUTRAL,786715.062
5.66,4.0,4.58,7.0,1.2,chop,NEUTRAL,786752.421
5.9,4.0,4.62,7.0,1.2,chop,NEUTRAL,786789.875
